athlete,athleteLabel,sportLabel,award,awardLabel,medalTypeLabel,year,countryLabel
http://www.wikidata.org/entity/Q15736761,Михал Крчмарж,биатлон,http://www.wikidata.org/entity/Q64746327,Бронзовая медаль Масарикова университета,,2019,Чехия
http://www.wikidata.org/entity/Q27975977,Себастьян Самуэльссон,биатлон,http://www.wikidata.org/entity/Q117086457,Q117086457,,2019,Швеция
http://www.wikidata.org/entity/Q2977362,Стина Нильссон,биатлон,http://www.wikidata.org/entity/Q117086457,Q117086457,,2019,Швеция
http://www.wikidata.org/entity/Q27999595,Ханна Эберг,биатлон,http://www.wikidata.org/entity/Q117086457,Q117086457,,2019,Швеция
http://www.wikidata.org/entity/Q1913846,"Цветков, Максим Сергеевич",биатлон,http://www.wikidata.org/entity/Q19030089,медаль ордена «За заслуги перед Отечеством» II степени,,2019,Россия
http://www.wikidata.org/entity/Q1902948,Марте Олсбю-Ройселанн,биатлон,http://www.wikidata.org/entity/Q1061233,Чемпион чемпионов L'Équipe,,2020,Норвегия
http://www.wikidata.org/entity/Q110770163,Jonáš Mareček,биатлон,http://www.wikidata.org/entity/Q63408421,Заслуженный спортсмен края Высочина,,2021,Чехия
http://www.wikidata.org/entity/Q1334428,Йоханнес Тинес Бё,биатлон,http://www.wikidata.org/entity/Q541985,медаль Хольменколлена,,2021,Норвегия
http://www.wikidata.org/entity/Q4980869,Лаура Дальмайер,биатлон,http://www.wikidata.org/entity/Q672787,Баварский орден «За заслуги»,,2021,Германия
http://www.wikidata.org/entity/Q110770163,Jonáš Mareček,биатлон,http://www.wikidata.org/entity/Q63408421,Заслуженный спортсмен края Высочина,,2022,Чехия
http://www.wikidata.org/entity/Q2643283,Александр Викторович Логинов,биатлон,http://www.wikidata.org/entity/Q19030089,медаль ордена «За заслуги перед Отечеством» II степени,,2022,Россия
http://www.wikidata.org/entity/Q106426908,Вероника Сергеевна Степанова,биатлон,http://www.wikidata.org/entity/Q791135,орден Дружбы,,2022,Россия
http://www.wikidata.org/entity/Q106426908,Вероника Сергеевна Степанова,биатлон,http://www.wikidata.org/entity/Q32164,заслуженный мастер спорта России,,2022,Россия
http://www.wikidata.org/entity/Q19207085,Жюли Симон,биатлон,http://www.wikidata.org/entity/Q13422138,кавалер ордена «За заслуги» (Франция),,2022,Франция
http://www.wikidata.org/entity/Q18586287,Жюстин Брезаз,биатлон,http://www.wikidata.org/entity/Q10855271,кавалер ордена Почётного легиона,,2022,Франция
http://www.wikidata.org/entity/Q55102680,"Казакевич, Ирина Владимировна",биатлон,http://www.wikidata.org/entity/Q19030539,медаль ордена «За заслуги перед Отечеством» I степени,,2022,Россия
http://www.wikidata.org/entity/Q55102680,"Казакевич, Ирина Владимировна",биатлон,http://www.wikidata.org/entity/Q32164,заслуженный мастер спорта России,,2022,Россия
http://www.wikidata.org/entity/Q15841371,Кентен Фийон-Майе,биатлон,http://www.wikidata.org/entity/Q10855271,кавалер ордена Почётного легиона,,2022,Франция
http://www.wikidata.org/entity/Q47453257,Кристина Леонидовна Резцова,биатлон,http://www.wikidata.org/entity/Q32164,заслуженный мастер спорта России,,2022,Россия
http://www.wikidata.org/entity/Q47453257,Кристина Леонидовна Резцова,биатлон,http://www.wikidata.org/entity/Q19030539,медаль ордена «За заслуги перед Отечеством» I степени,,2022,Россия
http://www.wikidata.org/entity/Q1902948,Марте Олсбю-Ройселанн,биатлон,http://www.wikidata.org/entity/Q1163691,Fearnley award,,2022,Норвегия
http://www.wikidata.org/entity/Q65212003,Саид Каримулла Халили,биатлон,http://www.wikidata.org/entity/Q19030089,медаль ордена «За заслуги перед Отечеством» II степени,,2022,Россия
http://www.wikidata.org/entity/Q65212003,Саид Каримулла Халили,биатлон,http://www.wikidata.org/entity/Q32164,заслуженный мастер спорта России,,2022,Россия
http://www.wikidata.org/entity/Q4208775,Ульяна Николаевна Нигматуллина,биатлон,http://www.wikidata.org/entity/Q19030539,медаль ордена «За заслуги перед Отечеством» I степени,,2022,Россия
http://www.wikidata.org/entity/Q4208775,Ульяна Николаевна Нигматуллина,биатлон,http://www.wikidata.org/entity/Q32164,заслуженный мастер спорта России,,2022,Россия
http://www.wikidata.org/entity/Q18603626,Фабьен Клод,биатлон,http://www.wikidata.org/entity/Q13422138,кавалер ордена «За заслуги» (Франция),,2022,Франция
http://www.wikidata.org/entity/Q1913846,"Цветков, Максим Сергеевич",биатлон,http://www.wikidata.org/entity/Q19030539,медаль ордена «За заслуги перед Отечеством» I степени,,2022,Россия
http://www.wikidata.org/entity/Q28966618,Эмильен Жаклен,биатлон,http://www.wikidata.org/entity/Q13422138,кавалер ордена «За заслуги» (Франция),,2022,Франция
